post_id,topic,framework,platform,published_at,review_window,hook_variant,cta_variant,impressions_or_reach,saves,shares,meaningful_comments,profile_visits,website_sessions,assessment_starts,save_share_rate,rolling_median,winner,notes
,,,,,72h,,,,,,,,,,,,,
,,,,,7d,,,,,,,,,,,,,

